,bbl,date,file path,st units
16001,2032780007,20210605,20210605_2032780007.pdf,30
16002,2032780018,20210605,20210605_2032780018.pdf,26
16003,2032780022,20210605,20210605_2032780022.pdf,26
16004,2032780028,20210605,20210605_2032780028.pdf,18
16005,2032780054,20210605,20210605_2032780054.pdf,SCRIE
16006,2032780059,20210605,20210605_2032780059.pdf,42
16007,2032790006,20210605,20210605_2032790006.pdf,53
16008,2032790013,20210605,20210605_2032790013.pdf,32
16009,2032790016,20210605,20210605_2032790016.pdf,SCRIE
16010,2032790031,20210605,20210605_2032790031.pdf,21
16011,2032790034,20210605,20210605_2032790034.pdf,31
16012,2032790035,20210605,20210605_2032790035.pdf,30
16013,2032790041,20210605,20210605_2032790041.pdf,30
16014,2032790062,20210605,20210605_2032790062.pdf,46
16015,2032800007,20210605,20210605_2032800007.pdf,44
16016,2032800013,20210605,20210605_2032800013.pdf,3
16017,2032800039,20210605,20210605_2032800039.pdf,34
16018,2032800045,20210605,20210605_2032800045.pdf,44
16019,2032800048,20210605,20210605_2032800048.pdf,44
16020,2032810018,20210605,20210605_2032810018.pdf,6
16021,2032810029,20210605,20210605_2032810029.pdf,44
16022,2032810040,20210605,20210605_2032810040.pdf,63
16023,2032810045,20210605,20210605_2032810045.pdf,47
16024,2032810050,20210605,20210605_2032810050.pdf,37
16025,2032810057,20210605,20210605_2032810057.pdf,35
16026,2032810068,20210605,20210605_2032810068.pdf,43
16027,2032810077,20210605,20210605_2032810077.pdf,78
16028,2032820007,20210605,20210605_2032820007.pdf,5
16029,2032820013,20210605,20210605_2032820013.pdf,SCRIE
16030,2032820016,20210605,20210605_2032820016.pdf,21
16031,2032820019,20210605,20210605_2032820019.pdf,21
16032,2032820046,20210605,20210605_2032820046.pdf,16
16033,2032820065,20210605,20210605_2032820065.pdf,56
16034,2032830006,20210605,20210605_2032830006.pdf,60
16035,2032830013,20210605,20210605_2032830013.pdf,10
16036,2032830025,20210605,20210605_2032830025.pdf,32
16037,2032830037,20210605,20210605_2032830037.pdf,14
16038,2032830055,20210605,20210605_2032830055.pdf,SCRIE
16039,2032830091,20210605,20210605_2032830091.pdf,31
16040,2032840001,20210605,20210605_2032840001.pdf,34
16041,2032840032,20210605,20210605_2032840032.pdf,8
16042,2032840034,20210605,20210605_2032840034.pdf,40
16043,2032840039,20210605,20210605_2032840039.pdf,33
16044,2032840046,20210605,20210605_2032840046.pdf,20
16045,2032840048,20210605,20210605_2032840048.pdf,3
16046,2032840057,20210605,20210605_2032840057.pdf,43
16047,2032850001,20210605,20210605_2032850001.pdf,54
16048,2032850015,20210605,20210605_2032850015.pdf,35
16049,2032850019,20210605,20210605_2032850019.pdf,61
16050,2032850028,20210605,20210605_2032850028.pdf,50
16051,2032850041,20210605,20210605_2032850041.pdf,36
16052,2032850052,20210605,20210605_2032850052.pdf,2
16053,2032850065,20210605,20210605_2032850065.pdf,64
16054,2032860011,20210605,20210605_2032860011.pdf,14
16055,2032860019,20210605,20210605_2032860019.pdf,54
16056,2032860024,20210605,20210605_2032860024.pdf,33
16057,2032860034,20210605,20210605_2032860034.pdf,26
16058,2032860051,20210605,20210605_2032860051.pdf,36
16059,2032870001,20210605,20210605_2032870001.pdf,11
16060,2032870003,20210605,20210605_2032870003.pdf,26
16061,2032870016,20210605,20210605_2032870016.pdf,25
16062,2032870018,20210605,20210605_2032870018.pdf,11
16063,2032870031,20210605,20210605_2032870031.pdf,69
16064,2032870043,20210605,20210605_2032870043.pdf,SCRIE
16065,2032870050,20210605,20210605_2032870050.pdf,25
16066,2032870053,20210605,20210605_2032870053.pdf,27
16067,2032870056,20210605,20210605_2032870056.pdf,66
16068,2032870062,20210605,20210605_2032870062.pdf,27
16069,2032870066,20210605,20210605_2032870066.pdf,27
16070,2032870073,20210605,20210605_2032870073.pdf,26
